,date,state,vehicle_category,electric_vehicles_sold,total_vehicles_sold
103,2022-04-01,ladakh,4-wheelers,0,105
104,2022-04-01,madhya pradesh,2-wheelers,1337,75144
105,2022-04-01,madhya pradesh,4-wheelers,37,11896
106,2022-04-01,maharashtra,2-wheelers,7375,135969
107,2022-04-01,maharashtra,4-wheelers,354,32449
108,2022-04-01,manipur,2-wheelers,1,1246
109,2022-04-01,manipur,4-wheelers,1,813
110,2022-04-01,meghalaya,2-wheelers,5,1472
111,2022-04-01,meghalaya,4-wheelers,1,860
112,2022-04-01,mizoram,2-wheelers,0,1530
113,2022-04-01,mizoram,4-wheelers,0,323
114,2022-04-01,nagaland,2-wheelers,2,444
115,2022-04-01,nagaland,4-wheelers,0,723
116,2022-04-01,odisha,2-wheelers,2261,44330
117,2022-04-01,odisha,4-wheelers,31,5448
118,2022-04-01,puducherry,2-wheelers,82,3044
119,2022-04-01,puducherry,4-wheelers,2,702
120,2022-04-01,punjab,2-wheelers,817,29934
121,2022-04-01,punjab,4-wheelers,3,10147
122,2022-04-01,rajasthan,2-wheelers,3771,70039
123,2022-04-01,rajasthan,4-wheelers,87,15176
124,2022-04-01,sikkim,2-wheelers,0,455
125,2022-04-01,sikkim,4-wheelers,0,380
126,2022-04-01,tamil nadu,2-wheelers,5425,106643
127,2022-04-01,tamil nadu,4-wheelers,154,17499
128,2022-04-01,tripura,2-wheelers,20,2797
129,2022-04-01,tripura,4-wheelers,0,448
130,2022-04-01,uttar pradesh,2-wheelers,2397,225079
131,2022-04-01,uttar pradesh,4-wheelers,11,32173
132,2022-04-01,uttarakhand,2-wheelers,602,12989
133,2022-04-01,uttarakhand,4-wheelers,49,4116
134,2022-04-01,west bengal,2-wheelers,815,68909
135,2022-04-01,west bengal,4-wheelers,40,8560
136,2023-04-01,andaman & nicobar island,2-wheelers,0,325
137,2023-04-01,andaman & nicobar island,4-wheelers,1,122
138,2023-04-01,andhra pradesh,2-wheelers,3515,48046
139,2023-04-01,andhra pradesh,4-wheelers,225,7229
140,2023-04-01,arunachal pradesh,2-wheelers,0,971
141,2023-04-01,arunachal pradesh,4-wheelers,1,892
142,2023-04-01,assam,2-wheelers,178,35047
143,2023-04-01,assam,4-wheelers,20,7022
144,2023-04-01,bihar,2-wheelers,971,84319
145,2023-04-01,bihar,4-wheelers,40,5840
146,2023-04-01,chandigarh,2-wheelers,126,2085
147,2023-04-01,chandigarh,4-wheelers,62,2482
148,2023-04-01,chhattisgarh,2-wheelers,1559,27613
149,2023-04-01,chhattisgarh,4-wheelers,93,5558
150,2023-04-01,delhi,2-wheelers,2738,28590
151,2023-04-01,delhi,4-wheelers,551,14861
152,2023-04-01,dnh and dd,2-wheelers,5,666
153,2023-04-01,dnh and dd,4-wheelers,1,407
154,2023-04-01,goa,2-wheelers,698,3609
155,2023-04-01,goa,4-wheelers,57,1633
156,2023-04-01,gujarat,2-wheelers,8266,89782
157,2023-04-01,gujarat,4-wheelers,537,28451
158,2023-04-01,haryana,2-wheelers,802,34168
159,2023-04-01,haryana,4-wheelers,363,21914
160,2023-04-01,himachal pradesh,2-wheelers,96,4847
161,2023-04-01,himachal pradesh,4-wheelers,9,3880
162,2023-04-01,jammu and kashmir,2-wheelers,212,6299
163,2023-04-01,jammu and kashmir,4-wheelers,4,3728
164,2023-04-01,jharkhand,2-wheelers,682,36353
165,2023-04-01,jharkhand,4-wheelers,39,4281
166,2023-04-01,karnataka,2-wheelers,9711,91491
167,2023-04-01,karnataka,4-wheelers,762,22368
168,2023-04-01,kerala,2-wheelers,4659,32903
169,2023-04-01,kerala,4-wheelers,637,9171
170,2023-04-01,ladakh,2-wheelers,0,43
171,2023-04-01,ladakh,4-wheelers,0,219
172,2023-04-01,madhya pradesh,2-wheelers,1958,64877
173,2023-04-01,madhya pradesh,4-wheelers,95,10894
174,2023-04-01,maharashtra,2-wheelers,12260,130977
175,2023-04-01,maharashtra,4-wheelers,1139,35336
176,2023-04-01,manipur,2-wheelers,15,3425
177,2023-04-01,manipur,4-wheelers,0,942
178,2023-04-01,meghalaya,2-wheelers,3,1501
179,2023-04-01,meghalaya,4-wheelers,2,1094
180,2023-04-01,mizoram,2-wheelers,8,1565
181,2023-04-01,mizoram,4-wheelers,0,336
182,2023-04-01,nagaland,2-wheelers,0,560
183,2023-04-01,nagaland,4-wheelers,1,687
184,2023-04-01,odisha,2-wheelers,2848,43956
185,2023-04-01,odisha,4-wheelers,84,5315
186,2023-04-01,puducherry,2-wheelers,157,3076
187,2023-04-01,puducherry,4-wheelers,5,735
188,2023-04-01,punjab,2-wheelers,376,28269
189,2023-04-01,punjab,4-wheelers,22,9734
190,2023-04-01,rajasthan,2-wheelers,3914,67999
191,2023-04-01,rajasthan,4-wheelers,291,14377
192,2023-04-01,sikkim,2-wheelers,0,465
193,2023-04-01,sikkim,4-wheelers,0,439
194,2023-04-01,tamil nadu,2-wheelers,6509,94801
195,2023-04-01,tamil nadu,4-wheelers,399,18659
196,2023-04-01,tripura,2-wheelers,19,2450
197,2023-04-01,tripura,4-wheelers,1,299
198,2023-04-01,uttar pradesh,2-wheelers,3087,195568
199,2023-04-01,uttar pradesh,4-wheelers,364,32143
200,2023-04-01,uttarakhand,2-wheelers,524,12580
201,2023-04-01,uttarakhand,4-wheelers,47,4887
202,2023-04-01,west bengal,2-wheelers,918,54194
203,2023-04-01,west bengal,4-wheelers,152,7999
204,2021-08-01,andaman & nicobar island,2-wheelers,0,406
205,2021-08-01,andaman & nicobar island,4-wheelers,1,110
206,2021-08-01,andhra pradesh,2-wheelers,666,58473
207,2021-08-01,andhra pradesh,4-wheelers,78,8245
208,2021-08-01,arunachal pradesh,2-wheelers,0,1126
209,2021-08-01,arunachal pradesh,4-wheelers,0,758
210,2021-08-01,assam,2-wheelers,26,25097
211,2021-08-01,assam,4-wheelers,2,6447
212,2021-08-01,bihar,2-wheelers,191,54618
213,2021-08-01,bihar,4-wheelers,7,5724
214,2021-08-01,chandigarh,2-wheelers,19,1380
215,2021-08-01,chandigarh,4-wheelers,9,1845
216,2021-08-01,chhattisgarh,2-wheelers,238,27491
217,2021-08-01,chhattisgarh,4-wheelers,11,4350
218,2021-08-01,delhi,2-wheelers,995,26069
219,2021-08-01,delhi,4-wheelers,157,13177
220,2021-08-01,dnh and dd,2-wheelers,2,584
221,2021-08-01,dnh and dd,4-wheelers,0,321
222,2021-08-01,goa,2-wheelers,22,2316
223,2021-08-01,goa,4-wheelers,19,1439
224,2021-08-01,gujarat,2-wheelers,584,54721
225,2021-08-01,gujarat,4-wheelers,83,20394
226,2021-08-01,haryana,2-wheelers,441,30342
227,2021-08-01,haryana,4-wheelers,3,16027
228,2021-08-01,himachal pradesh,2-wheelers,32,5430
229,2021-08-01,himachal pradesh,4-wheelers,0,3641
230,2021-08-01,jammu and kashmir,2-wheelers,122,9978
231,2021-08-01,jammu and kashmir,4-wheelers,0,5430
232,2021-08-01,jharkhand,2-wheelers,137,26589
233,2021-08-01,jharkhand,4-wheelers,3,5113
234,2021-08-01,karnataka,2-wheelers,3319,79751
235,2021-08-01,karnataka,4-wheelers,137,21975
236,2021-08-01,kerala,2-wheelers,598,52507
237,2021-08-01,kerala,4-wheelers,183,22813
238,2021-08-01,ladakh,2-wheelers,0,30
239,2021-08-01,ladakh,4-wheelers,0,459
240,2021-08-01,madhya pradesh,2-wheelers,457,67859
241,2021-08-01,madhya pradesh,4-wheelers,26,12758
242,2021-08-01,maharashtra,2-wheelers,2419,119076
243,2021-08-01,maharashtra,4-wheelers,197,35127
244,2021-08-01,manipur,2-wheelers,0,1016
245,2021-08-01,manipur,4-wheelers,0,561
246,2021-08-01,meghalaya,2-wheelers,0,1041
247,2021-08-01,meghalaya,4-wheelers,0,826
248,2021-08-01,mizoram,2-wheelers,0,1057
249,2021-08-01,mizoram,4-wheelers,0,240
250,2021-08-01,nagaland,2-wheelers,0,577
251,2021-08-01,nagaland,4-wheelers,0,763
252,2021-08-01,odisha,2-wheelers,485,33821
253,2021-08-01,odisha,4-wheelers,4,5453
254,2021-08-01,puducherry,2-wheelers,34,3496
255,2021-08-01,puducherry,4-wheelers,1,837
256,2021-08-01,punjab,2-wheelers,342,27376
257,2021-08-01,punjab,4-wheelers,4,9209
258,2021-08-01,rajasthan,2-wheelers,1451,57021
259,2021-08-01,rajasthan,4-wheelers,53,11454
260,2021-08-01,sikkim,2-wheelers,0,489
261,2021-08-01,sikkim,4-wheelers,0,408
262,2021-08-01,tamil nadu,2-wheelers,2745,109440
263,2021-08-01,tamil nadu,4-wheelers,88,20865
264,2021-08-01,tripura,2-wheelers,0,2462
265,2021-08-01,tripura,4-wheelers,0,462
266,2021-08-01,uttar pradesh,2-wheelers,531,146734
267,2021-08-01,uttar pradesh,4-wheelers,3,24012
268,2021-08-01,uttarakhand,2-wheelers,114,11192
269,2021-08-01,uttarakhand,4-wheelers,6,3760
270,2021-08-01,west bengal,2-wheelers,80,63613
271,2021-08-01,west bengal,4-wheelers,28,9198
272,2022-08-01,andaman & nicobar island,2-wheelers,0,398
273,2022-08-01,andaman & nicobar island,4-wheelers,0,154
274,2022-08-01,andhra pradesh,2-wheelers,1898,54365
275,2022-08-01,andhra pradesh,4-wheelers,64,7491
276,2022-08-01,arunachal pradesh,2-wheelers,0,1244
277,2022-08-01,arunachal pradesh,4-wheelers,0,866
278,2022-08-01,assam,2-wheelers,202,27466
279,2022-08-01,assam,4-wheelers,10,6733
280,2022-08-01,bihar,2-wheelers,849,64565
281,2022-08-01,bihar,4-wheelers,15,5012
282,2022-08-01,chandigarh,2-wheelers,59,1896
283,2022-08-01,chandigarh,4-wheelers,19,1903
284,2022-08-01,chhattisgarh,2-wheelers,1360,23146
285,2022-08-01,chhattisgarh,4-wheelers,35,3974
286,2022-08-01,delhi,2-wheelers,3259,31869
287,2022-08-01,delhi,4-wheelers,443,16315
288,2022-08-01,dnh and dd,2-wheelers,6,742
289,2022-08-01,dnh and dd,4-wheelers,1,303
290,2022-08-01,goa,2-wheelers,303,4503
291,2022-08-01,goa,4-wheelers,44,2364
292,2022-08-01,gujarat,2-wheelers,5059,74982
293,2022-08-01,gujarat,4-wheelers,230,23571
294,2022-08-01,haryana,2-wheelers,915,33336
295,2022-08-01,haryana,4-wheelers,163,18545
296,2022-08-01,himachal pradesh,2-wheelers,59,5281
297,2022-08-01,himachal pradesh,4-wheelers,2,3517
298,2022-08-01,jammu and kashmir,2-wheelers,182,9131
299,2022-08-01,jammu and kashmir,4-wheelers,3,4299
300,2022-08-01,jharkhand,2-wheelers,561,25332
301,2022-08-01,jharkhand,4-wheelers,15,4040
302,2022-08-01,karnataka,2-wheelers,7476,88611
303,2022-08-01,karnataka,4-wheelers,363,23924
304,2022-08-01,kerala,2-wheelers,3069,50954
305,2022-08-01,kerala,4-wheelers,342,21051
306,2022-08-01,ladakh,2-wheelers,0,222
307,2022-08-01,ladakh,4-wheelers,9,269
308,2022-08-01,madhya pradesh,2-wheelers,1931,98165
309,2022-08-01,madhya pradesh,4-wheelers,72,15953
310,2022-08-01,maharashtra,2-wheelers,9723,118886
