,date,state,vehicle_category,electric_vehicles_sold,total_vehicles_sold
519,2022-12-01,meghalaya,4-wheelers,0,1150
520,2022-12-01,mizoram,2-wheelers,11,1792
521,2022-12-01,mizoram,4-wheelers,0,445
522,2022-12-01,nagaland,2-wheelers,0,369
523,2022-12-01,nagaland,4-wheelers,0,490
524,2022-12-01,odisha,2-wheelers,2379,38217
525,2022-12-01,odisha,4-wheelers,42,6616
526,2022-12-01,puducherry,2-wheelers,177,2396
527,2022-12-01,puducherry,4-wheelers,4,690
528,2022-12-01,punjab,2-wheelers,635,35992
529,2022-12-01,punjab,4-wheelers,1,13085
530,2022-12-01,rajasthan,2-wheelers,5060,57108
531,2022-12-01,rajasthan,4-wheelers,110,12634
532,2022-12-01,sikkim,2-wheelers,0,274
533,2022-12-01,sikkim,4-wheelers,0,288
534,2022-12-01,tamil nadu,2-wheelers,4991,77848
535,2022-12-01,tamil nadu,4-wheelers,406,20201
536,2022-12-01,tripura,2-wheelers,57,3393
537,2022-12-01,tripura,4-wheelers,0,385
538,2022-12-01,uttar pradesh,2-wheelers,2334,134747
539,2022-12-01,uttar pradesh,4-wheelers,13,27230
540,2022-12-01,uttarakhand,2-wheelers,581,10627
541,2022-12-01,uttarakhand,4-wheelers,24,3881
542,2022-12-01,west bengal,2-wheelers,1047,69018
543,2022-12-01,west bengal,4-wheelers,65,8047
544,2023-12-01,andaman & nicobar island,2-wheelers,7,430
545,2023-12-01,andaman & nicobar island,4-wheelers,2,175
546,2023-12-01,andhra pradesh,2-wheelers,2372,60868
547,2023-12-01,andhra pradesh,4-wheelers,130,7155
548,2023-12-01,arunachal pradesh,2-wheelers,2,1377
549,2023-12-01,arunachal pradesh,4-wheelers,2,1137
550,2023-12-01,assam,2-wheelers,204,38490
551,2023-12-01,assam,4-wheelers,30,8111
552,2023-12-01,bihar,2-wheelers,1354,91064
553,2023-12-01,bihar,4-wheelers,59,4788
554,2023-12-01,chandigarh,2-wheelers,137,1162
555,2023-12-01,chandigarh,4-wheelers,130,1496
556,2023-12-01,chhattisgarh,2-wheelers,1865,31773
557,2023-12-01,chhattisgarh,4-wheelers,93,3575
558,2023-12-01,delhi,2-wheelers,5380,27097
559,2023-12-01,delhi,4-wheelers,811,16567
560,2023-12-01,dnh and dd,2-wheelers,13,1447
561,2023-12-01,dnh and dd,4-wheelers,5,488
562,2023-12-01,goa,2-wheelers,799,4299
563,2023-12-01,goa,4-wheelers,71,1859
564,2023-12-01,gujarat,2-wheelers,4080,85848
565,2023-12-01,gujarat,4-wheelers,548,26023
566,2023-12-01,haryana,2-wheelers,1019,60574
567,2023-12-01,haryana,4-wheelers,218,23698
568,2023-12-01,himachal pradesh,2-wheelers,102,9988
569,2023-12-01,himachal pradesh,4-wheelers,16,5710
570,2023-12-01,jammu and kashmir,2-wheelers,96,3661
571,2023-12-01,jammu and kashmir,4-wheelers,15,4531
572,2023-12-01,jharkhand,2-wheelers,632,32673
573,2023-12-01,jharkhand,4-wheelers,27,4375
574,2023-12-01,karnataka,2-wheelers,10237,91996
575,2023-12-01,karnataka,4-wheelers,1155,22859
576,2023-12-01,kerala,2-wheelers,4866,35712
577,2023-12-01,kerala,4-wheelers,736,13811
578,2023-12-01,ladakh,2-wheelers,0,7
579,2023-12-01,ladakh,4-wheelers,0,144
580,2023-12-01,madhya pradesh,2-wheelers,3359,88017
581,2023-12-01,madhya pradesh,4-wheelers,134,9736
582,2023-12-01,maharashtra,2-wheelers,14495,174125
583,2023-12-01,maharashtra,4-wheelers,1125,32212
584,2023-12-01,manipur,2-wheelers,6,976
585,2023-12-01,manipur,4-wheelers,2,206
586,2023-12-01,meghalaya,2-wheelers,1,1518
587,2023-12-01,meghalaya,4-wheelers,1,1060
588,2023-12-01,mizoram,2-wheelers,24,1974
589,2023-12-01,mizoram,4-wheelers,0,568
590,2023-12-01,nagaland,2-wheelers,0,421
591,2023-12-01,nagaland,4-wheelers,0,562
592,2023-12-01,odisha,2-wheelers,4383,48402
593,2023-12-01,odisha,4-wheelers,186,7280
594,2023-12-01,puducherry,2-wheelers,224,2836
595,2023-12-01,puducherry,4-wheelers,12,860
596,2023-12-01,punjab,2-wheelers,951,45523
597,2023-12-01,punjab,4-wheelers,116,13632
598,2023-12-01,rajasthan,2-wheelers,4676,99479
599,2023-12-01,rajasthan,4-wheelers,348,13082
600,2023-12-01,sikkim,2-wheelers,0,365
601,2023-12-01,sikkim,4-wheelers,0,318
602,2023-12-01,tamil nadu,2-wheelers,5403,82736
603,2023-12-01,tamil nadu,4-wheelers,520,19246
604,2023-12-01,tripura,2-wheelers,40,3663
605,2023-12-01,tripura,4-wheelers,4,489
606,2023-12-01,uttar pradesh,2-wheelers,5487,211546
607,2023-12-01,uttar pradesh,4-wheelers,498,29434
608,2023-12-01,uttarakhand,2-wheelers,655,19337
609,2023-12-01,uttarakhand,4-wheelers,37,5430
610,2023-12-01,west bengal,2-wheelers,2625,90092
611,2023-12-01,west bengal,4-wheelers,160,8435
612,2022-02-01,andaman & nicobar island,2-wheelers,0,388
613,2022-02-01,andaman & nicobar island,4-wheelers,0,112
614,2022-02-01,andhra pradesh,2-wheelers,2284,52013
615,2022-02-01,andhra pradesh,4-wheelers,43,6361
616,2022-02-01,arunachal pradesh,2-wheelers,0,858
617,2022-02-01,arunachal pradesh,4-wheelers,0,671
618,2022-02-01,assam,2-wheelers,108,25414
619,2022-02-01,assam,4-wheelers,3,6152
620,2022-02-01,bihar,2-wheelers,495,59758
621,2022-02-01,bihar,4-wheelers,8,5658
622,2022-02-01,chandigarh,2-wheelers,22,1184
623,2022-02-01,chandigarh,4-wheelers,11,1941
624,2022-02-01,chhattisgarh,2-wheelers,635,28508
625,2022-02-01,chhattisgarh,4-wheelers,20,3922
626,2022-02-01,delhi,2-wheelers,2384,25413
627,2022-02-01,delhi,4-wheelers,298,12608
628,2022-02-01,dnh and dd,2-wheelers,4,817
629,2022-02-01,dnh and dd,4-wheelers,1,354
630,2022-02-01,goa,2-wheelers,267,3248
631,2022-02-01,goa,4-wheelers,62,1160
632,2022-02-01,gujarat,2-wheelers,2613,68658
633,2022-02-01,gujarat,4-wheelers,128,24012
634,2022-02-01,haryana,2-wheelers,677,25667
635,2022-02-01,haryana,4-wheelers,28,16353
636,2022-02-01,himachal pradesh,2-wheelers,57,4041
637,2022-02-01,himachal pradesh,4-wheelers,5,3616
638,2022-02-01,jammu and kashmir,2-wheelers,101,4836
639,2022-02-01,jammu and kashmir,4-wheelers,7,4679
640,2022-02-01,jharkhand,2-wheelers,338,27174
641,2022-02-01,jharkhand,4-wheelers,4,4335
642,2022-02-01,karnataka,2-wheelers,5593,75612
643,2022-02-01,karnataka,4-wheelers,202,17561
644,2022-02-01,kerala,2-wheelers,1737,41273
645,2022-02-01,kerala,4-wheelers,327,14575
646,2022-02-01,ladakh,2-wheelers,0,15
647,2022-02-01,ladakh,4-wheelers,0,44
648,2022-02-01,madhya pradesh,2-wheelers,974,69322
649,2022-02-01,madhya pradesh,4-wheelers,22,11274
650,2022-02-01,maharashtra,2-wheelers,6871,116043
651,2022-02-01,maharashtra,4-wheelers,905,31805
652,2022-02-01,manipur,2-wheelers,3,4773
653,2022-02-01,manipur,4-wheelers,0,834
654,2022-02-01,meghalaya,2-wheelers,0,1145
655,2022-02-01,meghalaya,4-wheelers,1,917
656,2022-02-01,mizoram,2-wheelers,0,1599
657,2022-02-01,mizoram,4-wheelers,0,354
658,2022-02-01,nagaland,2-wheelers,0,504
659,2022-02-01,nagaland,4-wheelers,0,773
660,2022-02-01,odisha,2-wheelers,1266,41856
661,2022-02-01,odisha,4-wheelers,27,5023
662,2022-02-01,puducherry,2-wheelers,117,3410
663,2022-02-01,puducherry,4-wheelers,0,622
664,2022-02-01,punjab,2-wheelers,296,24506
665,2022-02-01,punjab,4-wheelers,5,9464
666,2022-02-01,rajasthan,2-wheelers,2563,56168
667,2022-02-01,rajasthan,4-wheelers,116,14811
668,2022-02-01,sikkim,2-wheelers,0,384
669,2022-02-01,sikkim,4-wheelers,0,371
670,2022-02-01,tamil nadu,2-wheelers,4506,108851
671,2022-02-01,tamil nadu,4-wheelers,135,16711
672,2022-02-01,tripura,2-wheelers,3,2705
673,2022-02-01,tripura,4-wheelers,0,340
674,2022-02-01,uttar pradesh,2-wheelers,1202,163699
675,2022-02-01,uttar pradesh,4-wheelers,22,28479
676,2022-02-01,uttarakhand,2-wheelers,223,9283
677,2022-02-01,uttarakhand,4-wheelers,24,3820
678,2022-02-01,west bengal,2-wheelers,383,56937
679,2022-02-01,west bengal,4-wheelers,45,7395
680,2023-02-01,andaman & nicobar island,2-wheelers,0,346
681,2023-02-01,andaman & nicobar island,4-wheelers,0,148
682,2023-02-01,andhra pradesh,2-wheelers,2907,51810
683,2023-02-01,andhra pradesh,4-wheelers,116,6628
684,2023-02-01,arunachal pradesh,2-wheelers,0,816
685,2023-02-01,arunachal pradesh,4-wheelers,0,840
686,2023-02-01,assam,2-wheelers,190,36795
687,2023-02-01,assam,4-wheelers,13,7029
688,2023-02-01,bihar,2-wheelers,911,77926
689,2023-02-01,bihar,4-wheelers,46,6117
690,2023-02-01,chandigarh,2-wheelers,216,955
691,2023-02-01,chandigarh,4-wheelers,59,2061
692,2023-02-01,chhattisgarh,2-wheelers,1874,30804
693,2023-02-01,chhattisgarh,4-wheelers,73,4196
694,2023-02-01,delhi,2-wheelers,2800,29396
695,2023-02-01,delhi,4-wheelers,510,14823
696,2023-02-01,dnh and dd,2-wheelers,16,777
697,2023-02-01,dnh and dd,4-wheelers,3,411
698,2023-02-01,goa,2-wheelers,628,3919
699,2023-02-01,goa,4-wheelers,83,1760
700,2023-02-01,gujarat,2-wheelers,6757,85424
701,2023-02-01,gujarat,4-wheelers,271,28856
702,2023-02-01,haryana,2-wheelers,702,31279
703,2023-02-01,haryana,4-wheelers,175,19656
704,2023-02-01,himachal pradesh,2-wheelers,65,4784
705,2023-02-01,himachal pradesh,4-wheelers,21,3952
706,2023-02-01,jammu and kashmir,2-wheelers,147,4868
707,2023-02-01,jammu and kashmir,4-wheelers,8,4449
708,2023-02-01,jharkhand,2-wheelers,652,31633
709,2023-02-01,jharkhand,4-wheelers,33,4234
710,2023-02-01,karnataka,2-wheelers,10266,88323
711,2023-02-01,karnataka,4-wheelers,616,21837
712,2023-02-01,kerala,2-wheelers,5558,39985
713,2023-02-01,kerala,4-wheelers,662,14603
714,2023-02-01,ladakh,2-wheelers,0,5
715,2023-02-01,ladakh,4-wheelers,0,49
716,2023-02-01,madhya pradesh,2-wheelers,2358,75150
717,2023-02-01,madhya pradesh,4-wheelers,144,17295
718,2023-02-01,maharashtra,2-wheelers,12070,129508
719,2023-02-01,maharashtra,4-wheelers,1012,30727
720,2023-02-01,manipur,2-wheelers,14,2990
721,2023-02-01,manipur,4-wheelers,5,756
722,2023-02-01,meghalaya,2-wheelers,2,1192
723,2023-02-01,meghalaya,4-wheelers,0,1002
724,2023-02-01,mizoram,2-wheelers,9,1655
725,2023-02-01,mizoram,4-wheelers,0,337
726,2023-02-01,nagaland,2-wheelers,0,375
727,2023-02-01,nagaland,4-wheelers,0,806
728,2023-02-01,odisha,2-wheelers,2552,49375
729,2023-02-01,odisha,4-wheelers,60,5397
730,2023-02-01,puducherry,2-wheelers,177,3354
731,2023-02-01,puducherry,4-wheelers,3,703
732,2023-02-01,punjab,2-wheelers,609,34555
733,2023-02-01,punjab,4-wheelers,18,11765
734,2023-02-01,rajasthan,2-wheelers,4662,62207
735,2023-02-01,rajasthan,4-wheelers,293,15819
736,2023-02-01,sikkim,2-wheelers,0,324
737,2023-02-01,sikkim,4-wheelers,0,364
738,2023-02-01,tamil nadu,2-wheelers,6701,118355
739,2023-02-01,tamil nadu,4-wheelers,307,18758
740,2023-02-01,tripura,2-wheelers,20,2860
741,2023-02-01,tripura,4-wheelers,0,328
742,2023-02-01,uttar pradesh,2-wheelers,1968,190812
743,2023-02-01,uttar pradesh,4-wheelers,60,32464
744,2023-02-01,uttarakhand,2-wheelers,426,11079
745,2023-02-01,uttarakhand,4-wheelers,23,3985
746,2023-02-01,west bengal,2-wheelers,814,67188
747,2023-02-01,west bengal,4-wheelers,142,8054
748,2024-02-01,andaman & nicobar island,2-wheelers,5,473
749,2024-02-01,andaman & nicobar island,4-wheelers,1,181
750,2024-02-01,andhra pradesh,2-wheelers,2830,56600
751,2024-02-01,andhra pradesh,4-wheelers,128,6125
752,2024-02-01,arunachal pradesh,2-wheelers,0,1117
753,2024-02-01,arunachal pradesh,4-wheelers,4,1184
754,2024-02-01,assam,2-wheelers,246,39048
755,2024-02-01,assam,4-wheelers,24,6858
756,2024-02-01,bihar,2-wheelers,1301,83398
757,2024-02-01,bihar,4-wheelers,71,6762
758,2024-02-01,chandigarh,2-wheelers,126,1416
759,2024-02-01,chandigarh,4-wheelers,84,1321
760,2024-02-01,chhattisgarh,2-wheelers,2198,40110
761,2024-02-01,chhattisgarh,4-wheelers,99,4125
762,2024-02-01,delhi,2-wheelers,2364,30504
763,2024-02-01,delhi,4-wheelers,596,17898
764,2024-02-01,dnh and dd,2-wheelers,24,1052
765,2024-02-01,dnh and dd,4-wheelers,5,444
766,2024-02-01,goa,2-wheelers,990,4759
767,2024-02-01,goa,4-wheelers,99,1772
768,2024-02-01,gujarat,2-wheelers,5103,88441
769,2024-02-01,gujarat,4-wheelers,510,25758
770,2024-02-01,haryana,2-wheelers,1075,38121
771,2024-02-01,haryana,4-wheelers,312,26000
772,2024-02-01,himachal pradesh,2-wheelers,66,4926
773,2024-02-01,himachal pradesh,4-wheelers,11,4584
774,2024-02-01,jammu and kashmir,2-wheelers,233,5055
775,2024-02-01,jammu and kashmir,4-wheelers,24,4211
776,2024-02-01,jharkhand,2-wheelers,710,34467
777,2024-02-01,jharkhand,4-wheelers,42,4667
778,2024-02-01,karnataka,2-wheelers,12605,108852
779,2024-02-01,karnataka,4-wheelers,923,24812
780,2024-02-01,kerala,2-wheelers,5389,38356
781,2024-02-01,kerala,4-wheelers,684,12281
782,2024-02-01,ladakh,2-wheelers,0,4
783,2024-02-01,ladakh,4-wheelers,0,47
784,2024-02-01,madhya pradesh,2-wheelers,4006,87659
785,2024-02-01,madhya pradesh,4-wheelers,146,18025
786,2024-02-01,maharashtra,2-wheelers,15193,147649
787,2024-02-01,maharashtra,4-wheelers,1227,36302
788,2024-02-01,manipur,2-wheelers,3,1723
789,2024-02-01,manipur,4-wheelers,7,310
790,2024-02-01,meghalaya,2-wheelers,11,1890
791,2024-02-01,meghalaya,4-wheelers,4,1261
792,2024-02-01,mizoram,2-wheelers,51,2146
793,2024-02-01,mizoram,4-wheelers,0,494
794,2024-02-01,nagaland,2-wheelers,0,763
795,2024-02-01,nagaland,4-wheelers,1,822
796,2024-02-01,odisha,2-wheelers,3733,57255
797,2024-02-01,odisha,4-wheelers,203,6305
798,2024-02-01,puducherry,2-wheelers,384,4556
799,2024-02-01,puducherry,4-wheelers,16,1177
800,2024-02-01,punjab,2-wheelers,1017,34359
801,2024-02-01,punjab,4-wheelers,111,14051
802,2024-02-01,rajasthan,2-wheelers,5145,81152
803,2024-02-01,rajasthan,4-wheelers,517,19149
804,2024-02-01,sikkim,2-wheelers,0,408
805,2024-02-01,sikkim,4-wheelers,0,375
806,2024-02-01,tamil nadu,2-wheelers,8647,143638
807,2024-02-01,tamil nadu,4-wheelers,595,23063
808,2024-02-01,tripura,2-wheelers,24,3334
809,2024-02-01,tripura,4-wheelers,5,538
810,2024-02-01,uttar pradesh,2-wheelers,6557,206846
811,2024-02-01,uttar pradesh,4-wheelers,394,37170
812,2024-02-01,uttarakhand,2-wheelers,586,13692
813,2024-02-01,uttarakhand,4-wheelers,60,5826
814,2024-02-01,west bengal,2-wheelers,1341,74089
815,2024-02-01,west bengal,4-wheelers,185,8487
816,2022-01-01,andaman & nicobar island,2-wheelers,0,336
817,2022-01-01,andaman & nicobar island,4-wheelers,0,90
818,2022-01-01,andhra pradesh,2-wheelers,1671,59712
819,2022-01-01,andhra pradesh,4-wheelers,29,8418
820,2022-01-01,arunachal pradesh,2-wheelers,0,950
821,2022-01-01,arunachal pradesh,4-wheelers,0,766
822,2022-01-01,assam,2-wheelers,92,26097
823,2022-01-01,assam,4-wheelers,0,5550
824,2022-01-01,bihar,2-wheelers,409,51380
825,2022-01-01,bihar,4-wheelers,10,5538
826,2022-01-01,chandigarh,2-wheelers,19,1291
827,2022-01-01,chandigarh,4-wheelers,7,1519
828,2022-01-01,chhattisgarh,2-wheelers,595,31989
829,2022-01-01,chhattisgarh,4-wheelers,11,4667
830,2022-01-01,delhi,2-wheelers,1762,24615
831,2022-01-01,delhi,4-wheelers,282,13659
832,2022-01-01,dnh and dd,2-wheelers,6,758
833,2022-01-01,dnh and dd,4-wheelers,0,358
834,2022-01-01,goa,2-wheelers,194,3015
835,2022-01-01,goa,4-wheelers,26,1185
836,2022-01-01,gujarat,2-wheelers,2191,58107
837,2022-01-01,gujarat,4-wheelers,97,21963
838,2022-01-01,haryana,2-wheelers,597,28339
839,2022-01-01,haryana,4-wheelers,26,17633
840,2022-01-01,himachal pradesh,2-wheelers,22,3490
841,2022-01-01,himachal pradesh,4-wheelers,3,3090
842,2022-01-01,jammu and kashmir,2-wheelers,76,3561
843,2022-01-01,jammu and kashmir,4-wheelers,0,3963
844,2022-01-01,jharkhand,2-wheelers,240,24613
845,2022-01-01,jharkhand,4-wheelers,5,4345
846,2022-01-01,karnataka,2-wheelers,4386,74134
847,2022-01-01,karnataka,4-wheelers,209,21967
848,2022-01-01,kerala,2-wheelers,1399,45699
849,2022-01-01,kerala,4-wheelers,212,17441
850,2022-01-01,ladakh,2-wheelers,6,20
851,2022-01-01,ladakh,4-wheelers,0,150
852,2022-01-01,madhya pradesh,2-wheelers,862,75043
853,2022-01-01,madhya pradesh,4-wheelers,25,11325
854,2022-01-01,maharashtra,2-wheelers,5138,136937
855,2022-01-01,maharashtra,4-wheelers,263,35772
856,2022-01-01,manipur,2-wheelers,5,3660
857,2022-01-01,manipur,4-wheelers,0,687
858,2022-01-01,meghalaya,2-wheelers,0,1112
859,2022-01-01,meghalaya,4-wheelers,0,1063
860,2022-01-01,mizoram,2-wheelers,0,1387
861,2022-01-01,mizoram,4-wheelers,0,311
862,2022-01-01,nagaland,2-wheelers,0,410
863,2022-01-01,nagaland,4-wheelers,0,722
864,2022-01-01,odisha,2-wheelers,1333,45749
865,2022-01-01,odisha,4-wheelers,27,5876
866,2022-01-01,puducherry,2-wheelers,94,4044
867,2022-01-01,puducherry,4-wheelers,0,758
868,2022-01-01,punjab,2-wheelers,552,28295
869,2022-01-01,punjab,4-wheelers,7,9792
870,2022-01-01,rajasthan,2-wheelers,2359,50153
871,2022-01-01,rajasthan,4-wheelers,92,13658
872,2022-01-01,sikkim,2-wheelers,0,400
873,2022-01-01,sikkim,4-wheelers,0,270
874,2022-01-01,tamil nadu,2-wheelers,4233,124399
875,2022-01-01,tamil nadu,4-wheelers,121,20494
876,2022-01-01,tripura,2-wheelers,5,3043
877,2022-01-01,tripura,4-wheelers,0,394
878,2022-01-01,uttar pradesh,2-wheelers,1322,168934
879,2022-01-01,uttar pradesh,4-wheelers,14,32561
880,2022-01-01,uttarakhand,2-wheelers,184,10413
881,2022-01-01,uttarakhand,4-wheelers,30,4241
882,2022-01-01,west bengal,2-wheelers,370,61071
883,2022-01-01,west bengal,4-wheelers,54,7968
884,2023-01-01,andaman & nicobar island,2-wheelers,0,373
885,2023-01-01,andaman & nicobar island,4-wheelers,0,153
886,2023-01-01,andhra pradesh,2-wheelers,2680,49537
887,2023-01-01,andhra pradesh,4-wheelers,121,10775
888,2023-01-01,arunachal pradesh,2-wheelers,0,718
889,2023-01-01,arunachal pradesh,4-wheelers,0,966
890,2023-01-01,assam,2-wheelers,142,41897
891,2023-01-01,assam,4-wheelers,5,7240
892,2023-01-01,bihar,2-wheelers,987,63994
893,2023-01-01,bihar,4-wheelers,19,6600
894,2023-01-01,chandigarh,2-wheelers,172,1977
895,2023-01-01,chandigarh,4-wheelers,50,2500
896,2023-01-01,chhattisgarh,2-wheelers,1923,35000
897,2023-01-01,chhattisgarh,4-wheelers,56,4880
898,2023-01-01,delhi,2-wheelers,3285,35973
899,2023-01-01,delhi,4-wheelers,331,17993
900,2023-01-01,dnh and dd,2-wheelers,9,698
901,2023-01-01,dnh and dd,4-wheelers,1,360
902,2023-01-01,goa,2-wheelers,662,4457
903,2023-01-01,goa,4-wheelers,44,1888
904,2023-01-01,gujarat,2-wheelers,5873,70897
905,2023-01-01,gujarat,4-wheelers,212,25859
906,2023-01-01,haryana,2-wheelers,706,29990
907,2023-01-01,haryana,4-wheelers,141,25164
908,2023-01-01,himachal pradesh,2-wheelers,78,4421
909,2023-01-01,himachal pradesh,4-wheelers,5,4192
910,2023-01-01,jammu and kashmir,2-wheelers,115,3934
911,2023-01-01,jammu and kashmir,4-wheelers,4,4245
912,2023-01-01,jharkhand,2-wheelers,655,27267
913,2023-01-01,jharkhand,4-wheelers,41,5016
914,2023-01-01,karnataka,2-wheelers,9969,94898
915,2023-01-01,karnataka,4-wheelers,587,26011
916,2023-01-01,kerala,2-wheelers,4667,43110
917,2023-01-01,kerala,4-wheelers,344,17267
918,2023-01-01,ladakh,2-wheelers,1,20
919,2023-01-01,ladakh,4-wheelers,0,92
920,2023-01-01,madhya pradesh,2-wheelers,2443,80312
921,2023-01-01,madhya pradesh,4-wheelers,69,17945
922,2023-01-01,maharashtra,2-wheelers,13802,148279
923,2023-01-01,maharashtra,4-wheelers,827,44349
924,2023-01-01,manipur,2-wheelers,7,3158
925,2023-01-01,manipur,4-wheelers,3,892
926,2023-01-01,meghalaya,2-wheelers,4,1372
927,2023-01-01,meghalaya,4-wheelers,1,1271
928,2023-01-01,mizoram,2-wheelers,10,1599
929,2023-01-01,mizoram,4-wheelers,0,476
930,2023-01-01,nagaland,2-wheelers,0,432
931,2023-01-01,nagaland,4-wheelers,0,545
932,2023-01-01,odisha,2-wheelers,2533,47973
933,2023-01-01,odisha,4-wheelers,51,6278
934,2023-01-01,puducherry,2-wheelers,197,4395
935,2023-01-01,puducherry,4-wheelers,3,1004
936,2023-01-01,punjab,2-wheelers,590,33117
937,2023-01-01,punjab,4-wheelers,0,11608
938,2023-01-01,rajasthan,2-wheelers,4624,62966
939,2023-01-01,rajasthan,4-wheelers,155,18017
940,2023-01-01,sikkim,2-wheelers,0,470
941,2023-01-01,sikkim,4-wheelers,0,420
942,2023-01-01,tamil nadu,2-wheelers,5505,135769
943,2023-01-01,tamil nadu,4-wheelers,202,24430
944,2023-01-01,tripura,2-wheelers,8,2766
945,2023-01-01,tripura,4-wheelers,0,399
946,2023-01-01,uttar pradesh,2-wheelers,1952,171721
947,2023-01-01,uttar pradesh,4-wheelers,26,41439
948,2023-01-01,uttarakhand,2-wheelers,447,12862
949,2023-01-01,uttarakhand,4-wheelers,16,5040
950,2023-01-01,west bengal,2-wheelers,632,52431
951,2023-01-01,west bengal,4-wheelers,124,9141
952,2024-01-01,andaman & nicobar,2-wheelers,2,483
953,2024-01-01,andaman & nicobar,4-wheelers,0,177
954,2024-01-01,andhra pradesh,2-wheelers,2134,53619
955,2024-01-01,andhra pradesh,4-wheelers,123,8483
956,2024-01-01,arunachal pradesh,2-wheelers,0,995
957,2024-01-01,arunachal pradesh,4-wheelers,5,1174
958,2024-01-01,assam,2-wheelers,253,44386
959,2024-01-01,assam,4-wheelers,21,7242
960,2024-01-01,bihar,2-wheelers,1288,71556
961,2024-01-01,bihar,4-wheelers,58,6824
962,2024-01-01,chandigarh,2-wheelers,118,1450
963,2024-01-01,chandigarh,4-wheelers,101,1624
964,2024-01-01,chhattisgarh,2-wheelers,2367,42881
965,2024-01-01,chhattisgarh,4-wheelers,91,4946
966,2024-01-01,delhi,2-wheelers,3073,38413
967,2024-01-01,delhi,4-wheelers,1345,21520
968,2024-01-01,dnh and dd,2-wheelers,31,866
969,2024-01-01,dnh and dd,4-wheelers,3,527
970,2024-01-01,goa,2-wheelers,832,5079
971,2024-01-01,goa,4-wheelers,86,2331
972,2024-01-01,gujarat,2-wheelers,5424,91933
973,2024-01-01,gujarat,4-wheelers,494,33379
974,2024-01-01,haryana,2-wheelers,1259,42824
975,2024-01-01,haryana,4-wheelers,282,28776
976,2024-01-01,himachal pradesh,2-wheelers,79,6031
977,2024-01-01,himachal pradesh,4-wheelers,13,4815
978,2024-01-01,jammu and kashmir,2-wheelers,219,4582
979,2024-01-01,jammu and kashmir,4-wheelers,10,5264
980,2024-01-01,jharkhand,2-wheelers,551,30612
981,2024-01-01,jharkhand,4-wheelers,29,4678
982,2024-01-01,karnataka,2-wheelers,12415,115920
983,2024-01-01,karnataka,4-wheelers,1080,30770
984,2024-01-01,kerala,2-wheelers,6457,42509
985,2024-01-01,kerala,4-wheelers,734,164
986,2024-01-01,ladakh,2-wheelers,14,37
987,2024-01-01,ladakh,4-wheelers,0,141
988,2024-01-01,madhya pradesh,2-wheelers,3684,92100
989,2024-01-01,madhya pradesh,4-wheelers,172,19326
990,2024-01-01,maharashtra,2-wheelers,16367,172830
991,2024-01-01,maharashtra,4-wheelers,1289,50156
992,2024-01-01,manipur,2-wheelers,7,1556
993,2024-01-01,manipur,4-wheelers,7,433
994,2024-01-01,meghalaya,2-wheelers,26,1625
995,2024-01-01,meghalaya,4-wheelers,1,1429
996,2024-01-01,mizoram,2-wheelers,28,1872
997,2024-01-01,mizoram,4-wheelers,1,513
998,2024-01-01,nagaland,2-wheelers,0,505
999,2024-01-01,nagaland,4-wheelers,0,877
1000,2024-01-01,odisha,2-wheelers,3883,53485
1001,2024-01-01,odisha,4-wheelers,150,7500
1002,2024-01-01,puducherry,2-wheelers,310,5141
1003,2024-01-01,puducherry,4-wheelers,10,1250
1004,2024-01-01,punjab,2-wheelers,821,33511
1005,2024-01-01,punjab,4-wheelers,105,15000
1006,2024-01-01,rajasthan,2-wheelers,4432,78862
1007,2024-01-01,rajasthan,4-wheelers,498,21747
1008,2024-01-01,sikkim,2-wheelers,0,509
1009,2024-01-01,sikkim,4-wheelers,0,422
1010,2024-01-01,tamil nadu,2-wheelers,7580,153753
1011,2024-01-01,tamil nadu,4-wheelers,626,28455
1012,2024-01-01,tripura,2-wheelers,3,3000
1013,2024-01-01,tripura,4-wheelers,2,466
1014,2024-01-01,uttar pradesh,2-wheelers,5668,181667
1015,2024-01-01,uttar pradesh,4-wheelers,399,44334
1016,2024-01-01,uttarakhand,2-wheelers,382,11682
1017,2024-01-01,uttarakhand,4-wheelers,49,5385
1018,2024-01-01,west bengal,2-wheelers,1636,72390
1019,2024-01-01,west bengal,4-wheelers,184,10223
1020,2021-07-01,andaman & nicobar island,2-wheelers,0,467
1021,2021-07-01,andaman & nicobar island,4-wheelers,8,176
1022,2021-07-01,andhra pradesh,2-wheelers,811,58165
1023,2021-07-01,andhra pradesh,4-wheelers,36,7877
1024,2021-07-01,arunachal pradesh,2-wheelers,0,994
1025,2021-07-01,arunachal pradesh,4-wheelers,0,661
1026,2021-07-01,assam,2-wheelers,22,22521
1027,2021-07-01,assam,4-wheelers,0,4988
1028,2021-07-01,bihar,2-wheelers,189,70562
1029,2021-07-01,bihar,4-wheelers,5,5438
1030,2021-07-01,chandigarh,2-wheelers,11,1286
1031,2021-07-01,chandigarh,4-wheelers,9,1916
1032,2021-07-01,chhattisgarh,2-wheelers,253,30642
1033,2021-07-01,chhattisgarh,4-wheelers,12,4916
1034,2021-07-01,delhi,2-wheelers,818,24955
1035,2021-07-01,delhi,4-wheelers,131,15033
1036,2021-07-01,dnh and dd,2-wheelers,3,704
1037,2021-07-01,dnh and dd,4-wheelers,0,276
1038,2021-07-01,goa,2-wheelers,64,1694
